dataset,term,frequency,config_name,error
jena_weather/10T,long,?,jena_weather/10T/?/long,too many values to unpack (expected 3)
jena_weather/D,short,?,jena_weather/D/?/short,too many values to unpack (expected 3)
jena_weather/H,short,?,jena_weather/H/?/short,too many values to unpack (expected 3)
jena_weather/H,medium,?,jena_weather/H/?/medium,too many values to unpack (expected 3)
jena_weather/H,long,?,jena_weather/H/?/long,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/D,short,?,kdd_cup_2018_with_missing/D/?/short,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/H,short,?,kdd_cup_2018_with_missing/H/?/short,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/H,medium,?,kdd_cup_2018_with_missing/H/?/medium,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/H,long,?,kdd_cup_2018_with_missing/H/?/long,too many values to unpack (expected 3)
temperature_rain_with_missing,short,?,temperature_rain_with_missing/?/short,too many values to unpack (expected 3)
saugeenday/D,short,?,saugeenday/D/?/short,too many values to unpack (expected 3)
saugeenday/M,short,?,saugeenday/M/?/short,too many values to unpack (expected 3)
saugeenday/W,short,?,saugeenday/W/?/short,too many values to unpack (expected 3)
us_births/D,short,?,us_births/D/?/short,too many values to unpack (expected 3)
us_births/M,short,?,us_births/M/?/short,"not enough values to unpack (expected 3, got 2)"
us_births/W,short,?,us_births/W/?/short,too many values to unpack (expected 3)
LOOP_SEATTLE/5T,short,?,LOOP_SEATTLE/5T/?/short,too many values to unpack (expected 3)
LOOP_SEATTLE/5T,medium,?,LOOP_SEATTLE/5T/?/medium,too many values to unpack (expected 3)
LOOP_SEATTLE/5T,long,?,LOOP_SEATTLE/5T/?/long,too many values to unpack (expected 3)
LOOP_SEATTLE/D,short,?,LOOP_SEATTLE/D/?/short,too many values to unpack (expected 3)
LOOP_SEATTLE/H,short,?,LOOP_SEATTLE/H/?/short,too many values to unpack (expected 3)
LOOP_SEATTLE/H,medium,?,LOOP_SEATTLE/H/?/medium,too many values to unpack (expected 3)
LOOP_SEATTLE/H,long,?,LOOP_SEATTLE/H/?/long,too many values to unpack (expected 3)
SZ_TAXI/15T,short,?,SZ_TAXI/15T/?/short,too many values to unpack (expected 3)
SZ_TAXI/15T,medium,?,SZ_TAXI/15T/?/medium,too many values to unpack (expected 3)
SZ_TAXI/15T,long,?,SZ_TAXI/15T/?/long,too many values to unpack (expected 3)
SZ_TAXI/H,short,?,SZ_TAXI/H/?/short,too many values to unpack (expected 3)
m4_daily,short,?,m4_daily/?/short,too many values to unpack (expected 3)
m4_hourly,short,?,m4_hourly/?/short,too many values to unpack (expected 3)
m4_monthly,short,?,m4_monthly/?/short,too many values to unpack (expected 3)
m4_quarterly,short,?,m4_quarterly/?/short,too many values to unpack (expected 3)
m4_weekly,short,?,m4_weekly/?/short,too many values to unpack (expected 3)
m4_yearly,short,?,m4_yearly/?/short,too many values to unpack (expected 3)
M_DENSE/D,short,?,M_DENSE/D/?/short,too many values to unpack (expected 3)
M_DENSE/H,short,?,M_DENSE/H/?/short,too many values to unpack (expected 3)
M_DENSE/H,medium,?,M_DENSE/H/?/medium,too many values to unpack (expected 3)
M_DENSE/H,long,?,M_DENSE/H/?/long,too many values to unpack (expected 3)
